0;797.857060;20000
1;803.029746;20000
2;785.784501;20000
3;708.645146;20000
4;796.988124;20000
5;799.548520;20000
6;810.078624;20000
7;792.190233;20000
8;714.112132;20000
9;797.714140;20000
10;800.384102;20000
11;810.290822;20000
12;794.252271;20000
13;713.712355;20000
14;797.495616;20000
15;799.645059;20000
16;803.929760;20000
17;791.184885;20000
18;714.242699;20000
19;797.666806;20000
20;798.092900;20000
21;803.402065;20000
22;791.951640;20000
23;714.947893;20000
24;797.702812;20000
25;800.054796;20000
26;810.598378;20000
27;793.645687;20000
28;714.316378;20000
29;797.611382;20000
